parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,dynamic_centerline_scale,dynamic centerline scale,formula_constant,float,mm,5,NOT_APPLICABLE - no separate prior evidenced,5,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:7,5,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:75b5fbc03de9089f9dc40b3e226f858f3d6e4218e064004f99ffa3d189734de0,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-001,dynamic_centerline_weight,dynamic centerline weight,formula_constant,float,points,35,NOT_APPLICABLE - no separate prior evidenced,35,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:4,35,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:0bdc3722bf35daf2377d43ea80de9f099e4c5bfa59606d74fba39c12205fc193,MACHINE_VERIFIED,
PARAM-003,MOD-001,FORM-001,dynamic_ovality_scale,dynamic ovality scale,formula_constant,float,ratio,0.04,NOT_APPLICABLE - no separate prior evidenced,0.04,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:8,0.04,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:dc5e0884b6cb4a88269796cac2144b1e5ca5f837c054eaa6fbe234a129df48d6,MACHINE_VERIFIED,
PARAM-004,MOD-001,FORM-001,dynamic_ovality_weight,dynamic ovality weight,formula_constant,float,points,25,NOT_APPLICABLE - no separate prior evidenced,25,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:5,25,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:64ec5f0ada3fa5dd5155f5220bfc2b4a39d1ce9469d2dfa88960768827ade3f0,MACHINE_VERIFIED,
PARAM-005,MOD-001,FORM-001,dynamic_temperature_scale,dynamic temperature scale,formula_constant,float,C,520,NOT_APPLICABLE - no separate prior evidenced,520,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:6,520,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:1c9acbec82b783af4aa6ded632409f0f0e5ed8922b047699b5a249eb7025a06e,MACHINE_VERIFIED,
PARAM-006,MOD-001,FORM-001,dynamic_temperature_weight,dynamic temperature weight,formula_constant,float,points,25,NOT_APPLICABLE - no separate prior evidenced,25,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:2,25,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:146c0a0c788ea6f43497e900bdb11baf002a1835594363a1e9a2b1bd78df5fb7,MACHINE_VERIFIED,
PARAM-007,MOD-001,FORM-001,dynamic_runout_scale,dynamic runout scale,formula_constant,float,mm,3,NOT_APPLICABLE - no separate prior evidenced,3,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:3,3,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:8875b111f18a97f5a5785c739d0801c8bbc4dc7949a0c8c598a597b77b3ba288,MACHINE_VERIFIED,
PARAM-008,MOD-001,FORM-001,dynamic_runout_weight,dynamic runout weight,formula_constant,float,points,15,NOT_APPLICABLE - no separate prior evidenced,15,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:74,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:74:1,15,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:c8f5d16d879988478d6a6dbdee9aad32b58a66639c35ccd557d6aedc474a7d71,MACHINE_VERIFIED,
PARAM-009,MOD-001,FORM-001,dynamic_centerline_threshold,dynamic centerline threshold,formula_constant,float,mm,3,NOT_APPLICABLE - no separate prior evidenced,3,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:77,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:77:1,3,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:81971068ad0f2501c7bb8f606c071256370ede7a652b85228ff06873d2c83c22,MACHINE_VERIFIED,
PARAM-010,MOD-001,FORM-001,dynamic_ovality_threshold,dynamic ovality threshold,formula_constant,float,ratio,0.02,NOT_APPLICABLE - no separate prior evidenced,0.02,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,FORM-001,EXTRACTED from code/config default,UNKNOWN (TASK-OPME-B-001: engineering calibration source not evidenced),High,OpMe_System/backend/app/services/analysis.py:79,NOT_APPLICABLE,OpMe_System/backend/tests/test_analysis.py:5,active,UNKNOWN,TASK-OPME-B-001,opme-rules-v0,2026-06-20,python_ast_literal:OpMe_System/backend/app/services/analysis.py:79:1,0.02,1fa711b5f480c78b2421d63bd9183939022d9ca0,2026-06-21T13:31:42Z,sha256:a10a66249a688e05f141d964fc4e287409ca5eeee6b47ff5fa8f3ba6f4c9c785,MACHINE_VERIFIED,
