bundle_item_id,source_rel_path,local_bundle_rel_path,domain,copied_size_bytes,failure_class,error_message,excluded_methods_not_attempted,schema_opened,message_or_contact_rows_selected
B00001,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-last.material,db_storage/contact,16384,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00002,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,db_storage/contact,5844992,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00005,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,db_storage/contact,13512704,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00008,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-first.material,db_storage/contact,16384,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00009,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-incremental.material,db_storage/contact,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00010,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/general/general.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/general/general.db,db_storage/general,3883008,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00013,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-incremental.material,db_storage/message,4096,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00014,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_1.db,db_storage/message,139845632,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00017,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_0.db-last.material,db_storage/message,258048,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
B00018,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_fts.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/message/message_fts.db,db_storage/message,119914496,not_plain_sqlite_or_encrypted_unknown,file is not a database,decrypt|key_extract|sqlcipher_key_attempt|protected_store_bypass,false,false
