task_id: S5PAT01
acceptance_id: ACC-S5PAT01
mode: PRIVACY_MARKER_SCAN_SUMMARY_NO_VALUES_EMITTED
value_policy: paths and marker classes only; no secret, email, token, password, or personal value is emitted
review_finding_count: 688
secret_keyword_file_count: 34
email_marker_file_count: 163
absolute_user_path_file_count: 101
sample_limit: 80
omitted_review_findings: 608
verified_real_secret_or_pii_found: false
failure_action: remain_in_phase_if_owner_confirms_real_secret_or_pii

## Project Counts
- FIFA: 75
- OpenAIDatabase: 259
- PFI_BIG_DATA_SIMULATOR: 46
- Serenity-Alipay: 308

## Marker Counts
- CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED: 163
- CONTENT_LOCAL_USER_PATH_MARKER_NO_VALUE_EMITTED: 101
- CONTENT_SECRET_KEYWORD_REVIEW_NO_VALUE_EMITTED: 34
- PATH_PRIVACY_REVIEW: 390

## Review Finding Samples
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/artifacts/latest/tab_fifa_dashboard_latest.html | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/app/config.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/app/database.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/app/main.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/app/scheduler.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/app/web.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/tests/test_crawler.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/legacy/fifa-analysis-system/tests/test_scheduler.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/assets/app_icon/generate_app_icon.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/scripts/active_timeline_check.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/scripts/build_downloads_app_entry.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/scripts/run_tab_fifa_daily_automation.sh | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/scripts/tab_real_refresh_smoke.sh | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/automation_config.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/bankroll.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/boards.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/daily_boards.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/dashboard.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/event_monitor.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/io.py | counted_without_value
- FIFA | CONTENT_EMAIL_MARKER_NO_VALUE_EMITTED | FIFA/tab-research-pipeline/tab_research/model.py | counted_without_value
