capability_id,capability_name,domain,decision,verification_status,evidence_refs,rationale,target_stage,preservation_constraint
CAP-001,金额 Money 内核,ACCURACY,KEEP,VERIFIED,KMFA/tools/amount_tools.py;KMFA/tests/test_amount_tools.py,保留整数分/Decimal 与拒绝 float 的契约和测试意图,S05,不得放宽为 float 或非整数分
CAP-002,逐字段零差异校验,ACCURACY,KEEP,VERIFIED,KMFA/tools/zero_delta_validator.py;KMFA/tests/test_zero_delta_validator.py,保留一分即失败、缺字段不当零的 fail-closed 内核,S05,真实数据仍须重新验收，不继承通过状态
CAP-003,raw 只读边界,DATA_GOVERNANCE,KEEP,VERIFIED,KMFA/docs/governance/RAW_DATA_BOUNDARY.md;KMFA/docs/governance/IMMUTABILITY_POLICY.md,保留禁止写删改移覆盖的硬边界,S03,新运行时须增加文件系统级保护
CAP-004,私有运行空间 Git 边界,SECURITY,KEEP,VERIFIED,KMFA/.gitignore;KMFA/docs/governance/RAW_DATA_BOUNDARY.md,保留敏感派生物不入 Git 的边界,S03,路径合同须在 S03 统一
CAP-005,公开仓库安全扫描,SECURITY,KEEP,VERIFIED,KMFA/tools/check_v014_one_time_github_main_upload.py;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/acceptance_matrix_public_safe.json,保留 secret/public-safe 检查器作为发布门禁,S03,不得保留任何 raw/plaintext 授权例外
CAP-006,metadata 协议,GOVERNANCE,KEEP,VERIFIED,KMFA/docs/governance/METADATA_PROTOCOL.md;KMFA/tools/metadata_protocol_check.py,保留标识符、版本和 public/private 分层语义,S02,需迁移为产品级持久化合同
CAP-007,不可变与控制事件语义,DATA_GOVERNANCE,KEEP,VERIFIED,KMFA/docs/governance/IMMUTABILITY_POLICY.md;KMFA/tools/immutability_policy_check.py,保留派生版本不覆盖和控制事件可审计语义,S03,真实写服务必须 append-only 且可并发
CAP-008,来源优先级与冲突不自动选边,ACCURACY,KEEP,VERIFIED,KMFA/tools/source_priority.py;KMFA/tests/test_source_priority.py,保留来源优先序和人工确认约束,S04,规则需外置、版本化并绑定 owner
CAP-009,质量等级与差异队列 fail-closed,QUALITY_GATE,KEEP,VERIFIED,KMFA/docs/governance/QUALITY_GATE_POLICY.md;KMFA/tools/check_report_grade_gate.py,保留缺证据阻断和差异必须升级的门禁,S11,技术等级不得直接暴露在普通用户页面
CAP-010,公式参数模型注册,GOVERNANCE,KEEP,VERIFIED,KMFA/docs/governance/formula_registry.yaml;KMFA/docs/governance/parameter_registry.csv;KMFA/docs/governance/model_registry.yaml,保留外置、版本化、可测试原则,S13,后续收敛为单一事实源
CAP-011,追溯与无遗漏检查,GOVERNANCE,KEEP,VERIFIED,KMFA/docs/governance/TRACEABILITY_MATRIX.csv;KMFA/tools/no_omission_check.py,保留需求、公式、测试、证据绑定意图,S02,不得以历史矩阵替代 v1.5 追溯
CAP-012,Git 指纹与基线证据,DELIVERY,KEEP,VERIFIED,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/s01_p1_legacy_reference_baseline_manifest.json,保留 commit/blob/hash 可重建证据模式,S24,不继承旧 App 可重建结论
CAP-013,文件导入登记与适配器,INGESTION,REFACTOR,EVIDENCE_PARTIAL,KMFA/tools/file_import_register.py;KMFA/stage_artifacts/S07_P1_finance_file_adapter;KMFA/stage_artifacts/S07_P2_wps_file_adapter,改造成只读 raw 输入和受控 private 输出的 ingestion adapter,S10,禁止任意输出路径和原地解包
CAP-014,差异队列持久化,QUALITY_GATE,REFACTOR,EVIDENCE_PARTIAL,KMFA/tools/cross_source_difference_queue.py;KMFA/metadata/quality/source_difference_queue.jsonl,改造成并发安全、幂等、授权状态机,S07,关闭差异必须有追加审计事件
CAP-015,人工确认与重跑,WORKFLOW,REFACTOR,EVIDENCE_PARTIAL,KMFA/tools/manual_resolution_events.py;KMFA/stage_artifacts/S12_P3_manual_rerun_mechanism,改造成真实审批 repository、影响预览和 rerun orchestration,S20,禁止整文件覆盖模拟 append-only
CAP-016,lineage 与派生版本,DATA_MODEL,REFACTOR,EVIDENCE_PARTIAL,KMFA/metadata/lineage/derived_data_versions.jsonl;KMFA/tools/check_lineage_report_gate.py,改造成 field→metric→report 图和可验证重算链,S02,关键金额无完整血缘不得发布
