requirement_id,priority,requirement_name,current_status,gap_type,severity,impact,evidence_refs,recommended_stage,migration_hint
R001,P0,系统名称与项目形态,MISSING,RUNTIME,CRITICAL,无可构建真实应用，无法形成独立 KMFA 产品形态,KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/human/legacy_reference_baseline_report_zh.md,S02,REFACTOR
R002,P0,核心用户与角色,MISSING,ACCESS,HIGH,真实用户、多人多角色和三主视角尚未进入运行时,KMFA/stage_artifacts/S17_P1_access_security;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/human/legacy_reference_baseline_report_zh.md,S15,REFACTOR
R003,P0,行业适配,UNVERIFIED,DOMAIN,HIGH,行业场景仅有历史模型片段，未由真实业务流验证,KMFA/stage_artifacts/S16_P2_project_status_lifecycle;KMFA/stage_artifacts/S16_P3_customer_business_analysis,S12,UNVERIFIED
R004,P0,项目成本优先,PARTIAL_VERIFIED,DOMAIN,CRITICAL,存在项目成本事实层原型，但没有真实首要业务闭环,KMFA/stage_artifacts/S09_P1_project_cost_fact_layer;KMFA/stage_artifacts/S11_P3_project_cost_page,S06,REFACTOR
R005,P0,原始数据只读,PARTIAL_VERIFIED,DATA_GOVERNANCE,CRITICAL,只读政策已验证，v1.5 运行时写保护和事件监测仍缺失,KMFA/docs/governance/RAW_DATA_BOUNDARY.md;KMFA/docs/governance/IMMUTABILITY_POLICY.md,S03,KEEP
R006,P0,私有派生空间,PARTIAL_VERIFIED,DATA_GOVERNANCE,CRITICAL,gitignore 私有空间存在，但产品级分层、权限和生命周期未实现,KMFA/.gitignore;KMFA/docs/governance/RAW_DATA_BOUNDARY.md,S03,KEEP
R007,P0,公开 GitHub 安全,CONFLICTING_POLICY,SECURITY,CRITICAL,当前提交内容安全，但旧策略允许 owner 授权后上传 raw/plaintext，与 v2.0 严格禁止规则冲突,KMFA/tools/check_v014_one_time_github_main_upload.py;KMFA/metadata/security/public_repo_sensitive_data_policy.jsonl;KMFA/stage_artifacts/V015_S01_P1_LEGACY_REFERENCE_BASELINE_FREEZE/machine/acceptance_matrix_public_safe.json,S03,REFACTOR
R008,P0,数据优先级,PARTIAL_VERIFIED,DATA_GOVERNANCE,CRITICAL,来源优先级规则存在，尚未成为版本化运行时决策服务,KMFA/tools/source_priority.py;KMFA/stage_artifacts/S03_P3_source_priority,S04,KEEP
R009,P0,同源引用一致,PARTIAL_VERIFIED,ACCURACY,CRITICAL,已有差异与重跑原型，未形成真实缓存失效全链路,KMFA/stage_artifacts/S12_P3_manual_rerun_mechanism;KMFA/metadata/quality/source_difference_queue.jsonl,S07,REFACTOR
R010,P0,跨源冲突处理,PARTIAL_VERIFIED,ACCURACY,CRITICAL,禁止自动选边的规则可复用，真实人工确认状态机未实现,KMFA/tools/source_priority.py;KMFA/stage_artifacts/S06_P2_cross_source_difference_queue,S07,REFACTOR
R011,P0,用户与系统责任判定,PARTIAL_VERIFIED,ACCURACY,HIGH,历史差异证据未稳定归因到源、映射、规则、计算、展示五层,KMFA/stage_artifacts/V014_FINAL_OVERALL_REVIEW;KMFA/metadata/quality/source_difference_queue.jsonl,S07,REFACTOR
R012,P0,零差异金额精度,PARTIAL_VERIFIED,ACCURACY,CRITICAL,整数分/Decimal 和零分容差内核已验证，真实权威数据仍未零差异,KMFA/tools/amount_tools.py;KMFA/tools/zero_delta_validator.py;KMFA/stage_artifacts/S18_P1_precision_stress,S05,KEEP
R013,P0,权威基准,UNVERIFIED,ACCURACY,CRITICAL,黄金输入锁定流程有历史证据，但本轮未读取或验证真实权威值,KMFA/stage_artifacts/S05_P3_authority_baseline_lock;KMFA/stage_artifacts/V014_FINAL_OVERALL_REVIEW,S06,UNVERIFIED
R014,P0,原始值与处理值并存,PARTIAL_VERIFIED,DATA_MODEL,CRITICAL,版本与字段标准化结构存在，真实运行时历史不可覆盖性未证明,KMFA/stage_artifacts/S04_P2_field_standardization;KMFA/docs/governance/IMMUTABILITY_POLICY.md,S04,KEEP
