local_path,sensitivity,git_policy
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/dashboard/index.html,local_navigation,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/dashboard/index.md,local_navigation,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/today_briefing.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/contact_radar,local_full_sensitive_report_dir,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/work_handoff_summary.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/work_information_summary.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/work_optimization.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/todo_action_center.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/risk_center.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/opportunity_center.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/personal_behavior_review.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/relationship_roi.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/reports/evidence_index.md,local_full_sensitive_report,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/operator_guide.md,local_operator_guide,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/run_wda_v0_2_r1.sh,local_runner,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/config/export_policy.yaml,local_pipeline_config,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/config/analysis_policy.yaml,local_pipeline_config,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/config/privacy_policy.yaml,local_pipeline_config,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/config/report_templates.yaml,local_pipeline_config,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/old_computer_export_runner_spec.md,local_pipeline_spec,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/new_computer_import_runner_spec.md,local_pipeline_spec,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/transfer_policy.md,local_pipeline_spec,do_not_commit_local_output
/Users/linzezhang/Downloads/WDA_MetaData/v0_2_r1/full_auto_runbook.md,local_runbook,do_not_commit_local_output
