bundle_id,bundle_item_id,source_rel_path,local_bundle_rel_path,domain,selection_role,main_rel_path,readability_class,signature_category,source_size_bytes,copied_size_bytes,sha256,mtime_iso,schema_opened,message_or_contact_rows_selected,source_root_label,source_readonly_confirmed,selection_note
sprint2b_candidate_db_bundle_20260703,B00001,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-last.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-last.material,db_storage/contact,main_candidate,,wcdb_or_unknown,non_sqlite_header,16384,16384,2a5c00b0b52cec15a17e1c553cc1baed0b72c789fef96dddb49f515a0356ed71,2025-11-24T18:32:31+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
sprint2b_candidate_db_bundle_20260703,B00002,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,db_storage/contact,main_candidate,,encrypted_or_sqlcipher_likely,non_sqlite_header,5844992,5844992,91fadcca592c972198c2f093d053743cc4420803242d57d88141d3ad42038473,2026-06-29T18:25:55+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
sprint2b_candidate_db_bundle_20260703,B00003,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-wal,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-wal,db_storage/contact,wal_companion_for_selected_main,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,companion_file,empty_file,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-07-01T18:33:45+10:00,false,false,APFS_RAW_COPY_ROOT,true,companion_for_selected_non_sensitive_main_candidate
sprint2b_candidate_db_bundle_20260703,B00004,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-shm,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db-shm,db_storage/contact,shm_companion_for_selected_main,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact_fts.db,companion_file,non_sqlite_header,32768,32768,04b1753c3daec730c21e18fc250f54f28f461428fc5a362a1f72867184656726,2026-07-01T18:33:45+10:00,false,false,APFS_RAW_COPY_ROOT,true,companion_for_selected_non_sensitive_main_candidate
sprint2b_candidate_db_bundle_20260703,B00005,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,db_storage/contact,main_candidate,,encrypted_or_sqlcipher_likely,non_sqlite_header,13512704,13512704,986ee3096d20e443faf129d6bbaa6176edc8fcbeade57c8663540f844f18b5ca,2026-06-29T18:25:55+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
sprint2b_candidate_db_bundle_20260703,B00006,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-wal,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-wal,db_storage/contact,wal_companion_for_selected_main,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,companion_file,empty_file,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-07-01T18:33:45+10:00,false,false,APFS_RAW_COPY_ROOT,true,companion_for_selected_non_sensitive_main_candidate
sprint2b_candidate_db_bundle_20260703,B00007,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-shm,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-shm,db_storage/contact,shm_companion_for_selected_main,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db,companion_file,non_sqlite_header,32768,32768,e7e7aa9031aae9fe202373301e01bb24b29923980dde38ad2a041a14c75089d9,2026-07-01T18:33:45+10:00,false,false,APFS_RAW_COPY_ROOT,true,companion_for_selected_non_sensitive_main_candidate
sprint2b_candidate_db_bundle_20260703,B00008,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-first.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-first.material,db_storage/contact,main_candidate,,wcdb_or_unknown,non_sqlite_header,16384,16384,5f52e43ffa9f6f8b62f9fad4a3256c6430e806edc441860903c995932a2ad742,2025-11-24T18:44:06+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
sprint2b_candidate_db_bundle_20260703,B00009,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-incremental.material,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/contact/contact.db-incremental.material,db_storage/contact,main_candidate,,wcdb_or_unknown,non_sqlite_header,4096,4096,53f864eb8356c8689f28327368303046828b1630d9a0389258846336c0b0e81e,2025-11-24T18:44:41+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
sprint2b_candidate_db_bundle_20260703,B00010,xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/general/general.db,files/xwechat_files/wxid_rtkga2i8r63812_7865/db_storage/general/general.db,db_storage/general,main_candidate,,encrypted_or_sqlcipher_likely,non_sqlite_header,3883008,3883008,81553f27ed41268e894fbc3d8731091549d9c92bcc68921a4f1ffd58c687336f,2026-07-01T18:33:46+10:00,false,false,APFS_RAW_COPY_ROOT,true,non_sensitive_allowed_domain_main_candidate
