finding_id,finding_class,scope,severity,summary_zh,status,fix_or_disposition,evidence_refs,mutation_test_id,blocks_stage_pass,blocks_s02_entry
S01REV-RD-001,REVIEW_DEFECT,GOVERNANCE,HIGH,KMFA AGENTS 当前状态仍停留在 v0.1.4 上传闭环,FIXED_VALIDATED,更新为 v1.5 S01 review 当前状态,KMFA/AGENTS.md;KMFA/HANDOFF.md,test_rejects_stale_agents_current_state,false,false
S01REV-RD-002,REVIEW_DEFECT,GOVERNANCE,HIGH,KMFA AGENTS 缺少 v1.5 Stage1-24 后一次性上传规则,FIXED_VALIDATED,增加 v1.5 不按单 Stage 上传合同,KMFA/AGENTS.md,test_rejects_missing_v15_single_upload_rule,false,false
S01REV-RD-003,REVIEW_DEFECT,S01-P1,HIGH,P1 live remote 校验永久绑定历史 tip,FIXED_VALIDATED,改为历史 baseline 对当前可见 remote 的 ancestry 校验,KMFA/tools/check_v015_s01_p1_legacy_reference_baseline.py,test_rejects_unverifiable_live_remote_oid,false,false
S01REV-RD-004,REVIEW_DEFECT,S01-P1,HIGH,P1 artifact refs 空字典可绕过,FIXED_VALIDATED,锁定完整 artifact refs,KMFA/tools/check_v015_s01_p1_legacy_reference_baseline.py;KMFA/tests/test_v015_s01_p1_legacy_reference_baseline.py,test_rejects_empty_artifact_refs_even_with_recomputed_manifest_hash,false,false
S01REV-RD-005,REVIEW_DEFECT,S01-P1,HIGH,P1 phase gate 额外键和 not-passed 计数可漂移,FIXED_VALIDATED,锁定 phase gate key set 与 3 个 NOT_PASSED,KMFA/tools/check_v015_s01_p1_legacy_reference_baseline.py;KMFA/tests/test_v015_s01_p1_legacy_reference_baseline.py,test_rejects_extra_phase_gate_key_even_with_recomputed_manifest_hash,false,false
S01REV-RD-006,REVIEW_DEFECT,S01-P2,HIGH,P2 task outcome 可重复或断开 task evidence,FIXED_VALIDATED,锁定三条唯一 outcome 和 task evidence,KMFA/tools/check_v015_s01_p2_implementation_spec_gap_inventory.py;KMFA/tests/test_v015_s01_p2_implementation_spec_gap_inventory.py,test_rejects_duplicate_task_outcome_even_with_recomputed_hash,false,false
S01REV-RD-007,REVIEW_DEFECT,S01-P2,HIGH,P2 artifact refs 空字典可绕过,FIXED_VALIDATED,锁定完整 artifact refs,KMFA/tools/check_v015_s01_p2_implementation_spec_gap_inventory.py;KMFA/tests/test_v015_s01_p2_implementation_spec_gap_inventory.py,test_rejects_empty_artifact_refs_even_with_recomputed_hash,false,false
S01REV-RD-008,REVIEW_DEFECT,S01-P2,HIGH,P2 capability ID 可替换为任意值,FIXED_VALIDATED,锁定 CAP-001 至 CAP-037,KMFA/tools/check_v015_s01_p2_implementation_spec_gap_inventory.py;KMFA/tests/test_v015_s01_p2_implementation_spec_gap_inventory.py,test_rejects_unknown_capability_id,false,false
S01REV-RD-009,REVIEW_DEFECT,S01-P2,HIGH,P2 evidence ref 可指向仓库外或仓库根,FIXED_VALIDATED,要求 KMFA 下具体仓库相对证据,KMFA/tools/check_v015_s01_p2_implementation_spec_gap_inventory.py;KMFA/tests/test_v015_s01_p2_implementation_spec_gap_inventory.py,test_rejects_external_evidence_ref,false,false
S01REV-RD-010,REVIEW_DEFECT,S01-P2,HIGH,P2 dependency 和 phase boundary 可追加绕过,FIXED_VALIDATED,锁定 dependency refs checkpoints boundary key set 与 execution count,KMFA/tools/check_v015_s01_p2_implementation_spec_gap_inventory.py;KMFA/tests/test_v015_s01_p2_implementation_spec_gap_inventory.py,test_rejects_extra_manifest_phase_gate_key,false,false
