task_id,acceptance_id,project_id,priority,owner_time_goal,workflow,owner_pain_point,recommended_action,evidence_ref,s6pat02_candidate,implementation_boundary,rollback
S6PAT01,ACC-S6PAT01,Alpha,P0,2min-current-state,中文入口到结构边界,Owner 需要快速确认主动源码和历史输出边界,在 README 中文入口增加 S4/S5 当前边界摘要和下一步 gate 链接,Alpha/docs/structure_migration_map.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,Alpha,P1,10min-first-test,首次有效测试路径,Owner/新 Agent 需要更快找到最小测试命令,在 README 中文入口补充一个最小 smoke 命令和失败时去向,Alpha/README.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,EVA_OS,P0,2min-current-state,中文入口到长 README,README 较长且 Owner 首屏需要直接判断当前状态,在 README 顶部增加中文当前状态/下一 gate/风险三行摘要,EVA_OS/README.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,EVA_OS,P1,5min-understand-operation,操作流程定位,复杂治理说明容易遮挡可执行路径,增加 Owner 操作路径小节: 当前入口 -> 运行/测试 -> 证据,EVA_OS/docs/EVA_structure_report.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,OpMe_System,P0,5min-understand-operation,交付包与运行源码边界,Owner 需要确认 app bundle/source/样例输入没有混淆,在中文入口加一张边界表: active source / delivery bundle / demo input,OpMe_System/docs/OpMe_structure_report.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,OpMe_System,P1,10min-first-test,失败与空状态反馈,新 Agent 需要知道 smoke 失败时看哪个日志或合同文件,在 README 测试区补充失败去向和回滚链接,OpMe_System/README.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,whkmSalary,P0,10min-first-test,最小运行/测试路径,README 很短但应直接暴露首个有效测试,在 README 中文入口补齐最小测试命令和配置文件位置,whkmSalary/README.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,whkmSalary,P1,5min-understand-operation,源码/配置/启动边界,薪资逻辑/Streamlit/配置边界需要一屏看懂,在中文入口加入 source/config/startup 三项边界摘要,whkmSalary/docs/whkm_structure_report.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,FIFA,P0,2min-current-state,主动 pipeline 与 legacy 边界,Owner 需要首屏确认 tab-research-pipeline 是主动入口,在 README 中文入口增加 active/legacy/artifact/ops 的四项状态表,FIFA/docs/FIFA_structure_report.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,FIFA,P1,10min-first-test,最小回归路径,新 Agent 需要快速跑出当前有效验证,在 README 测试区标出最小治理/项目 smoke 命令,FIFA/README.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
S6PAT01,ACC-S6PAT01,OpenAIDatabase,P0,2min-current-state,隐私边界首屏判断,README 较长且 privacy/export 边界必须首屏可见,在 README 顶部增加隐私边界与默认入口状态摘要,OpenAIDatabase/docs/OpenAIDatabase_structure_report.md,true,S6PAT01 只排序不实施; S6PAT02 单项目 PR 实施,仅保留 P0/P1; 删除该建议行即可回滚矩阵
