roi_id,subsystem,artifact_type,title,source_path,file_modified_at,size_kb,value_contribution,evidence_level,decision_level,review_status,token_estimate,ai_cost,human_time_cost,revenue_generated,cost_saved,loss_avoided,asset_reuse_value,roi_score,value_status,next_action
tokenRoi_bdef0bb6b6c6235aa4fe,QuantLab,Validation Task Execution,ValidationTaskExecution_latest,data/validationQueue/ValidationTaskExecution_latest.json,2026-06-07T13:50:39,2.65,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_e2952812bb3402c8c4ab,QuantLab,Validation Task Execution,ValidationTaskExecution_07062026_1c188bc96fe9f547,data/validationQueue/ValidationTaskExecution_07062026_1c188bc96fe9f547.json,2026-06-07T13:50:39,2.65,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_7a1cdad2c14157f19440,QuantLab,Validation Task Execution,ValidationTaskExecution_latest,data/validationQueue/ValidationTaskExecution_latest.pdf,2026-06-07T13:50:39,1.46,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_838f30bc733f5cbe3666,QuantLab,Validation Task Execution,ValidationTaskExecution_07062026_1c188bc96fe9f547,data/validationQueue/ValidationTaskExecution_07062026_1c188bc96fe9f547.pdf,2026-06-07T13:50:39,1.46,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_ddc27028fe6500f5092d,QuantLab,Validation Task Execution,ValidationTaskExecution_latest,data/validationQueue/ValidationTaskExecution_latest.md,2026-06-07T13:50:39,1.22,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_a0da3fde55eb2f349891,QuantLab,Validation Task Execution,ValidationTaskExecution_07062026_1c188bc96fe9f547,data/validationQueue/ValidationTaskExecution_07062026_1c188bc96fe9f547.md,2026-06-07T13:50:39,1.22,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_fa1988cd4b68aa31aa75,QuantLab,Validation Task Execution,ValidationTaskExecution_latest,data/validationQueue/ValidationTaskExecution_latest.csv,2026-06-07T13:50:39,0.52,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_a81071be6315c724173b,QuantLab,Validation Task Execution,ValidationTaskExecution_07062026_1c188bc96fe9f547,data/validationQueue/ValidationTaskExecution_07062026_1c188bc96fe9f547.csv,2026-06-07T13:50:39,0.52,Validation Efficiency,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Compare against out-of-sample and walk-forward evidence before promotion.
tokenRoi_274d0a09e5b6d71a6b6f,EVA_OS Foundation,Executive Command Center,EVACommandCenter_latest,data/commandCenter/EVACommandCenter_latest.json,2026-06-07T13:34:22,6.97,System Reliability,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Keep this gate green before relying on downstream research outputs.
tokenRoi_9e0860bcd6df752a7585,EVA_OS Foundation,Executive Command Center,EVACommandCenter_07062026,data/commandCenter/EVACommandCenter_07062026.json,2026-06-07T13:34:22,6.97,System Reliability,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Keep this gate green before relying on downstream research outputs.
tokenRoi_a9203ba11614c3364b0d,EVA_OS Foundation,Executive Command Center,EVACommandCenter_latest,data/commandCenter/EVACommandCenter_latest.pdf,2026-06-07T13:34:22,1.66,System Reliability,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Keep this gate green before relying on downstream research outputs.
tokenRoi_c83d0c822799cf8dd411,EVA_OS Foundation,Executive Command Center,EVACommandCenter_07062026,data/commandCenter/EVACommandCenter_07062026.pdf,2026-06-07T13:34:22,1.66,System Reliability,FACT,Observe,Recorded,0,0.0,0.0,0.0,0.0,0.0,0.0,,Unquantified,Keep this gate green before relying on downstream research outputs.
