"requirement_id","stage_id","requirement","implementation_evidence","local_runtime_evidence","online_evidence","real_browser_evidence","current_status","gap","next_remediation_phase"
"S01-AC01","S01","仓库内存在全中文 人类可读/00_快速入口.md","人类可读/00_快速入口.md exists","N/A","N/A","N/A","VERIFIED","File-level requirement is directly satisfied","R8"
"S01-AC02","S01","机器治理/ 中存在 v1.2 需求冻结配置","机器治理/运行门禁/v1.2需求冻结清单.json exists","N/A","N/A","N/A","VERIFIED","File-level requirement is directly satisfied","R8"
"S01-AC03","S01","根目录三件套未被删除或降级","功能清单.md; 开发记录.md; 模型参数文件.md exist and contain substantive records","N/A","N/A","N/A","VERIFIED","Current truth must remain at the top of each file","R8"
"S01-AC04","S01","README/人类入口能说明 v1.2 边界变更","README.md and 人类可读/01_v1.2四线14Stage升级总览.md describe the boundary","N/A","N/A","N/A","VERIFIED","Historical completion language is superseded by R0","R8"
"S02-AC01","S02","source registry 不是仅 chatgpt/codex 硬编码","机器治理/同步与备份/sync_source_registry.json includes future-agent adapter","atlasctl sync --source future-agent --dry-run returns PASS","N/A","N/A","VERIFIED","Actual future-agent data is still absent but the registry criterion is satisfied","R7"
"S02-AC02","S02","人类说明明确写出 ChatGPT、Codex、后续其他 agent 数据备份进 GitHub","人类可读/05_ChatGPT与Codex及其他Agent自动同步说明.md","N/A","N/A","N/A","VERIFIED","Document requirement is directly satisfied","R7"
"S02-AC03","S02","每个 source 都有 transcript/credential 边界","source registry and credential exclusion policy declare the boundary","chatgpt/codex/future-agent dry-runs report no credential write","N/A","N/A","VERIFIED","Apply paths still need R7 recovery proof","R7"
"S03-AC01","S03","raw transcript 可明文进入公开路径","data/public_raw contains only README.md; data/raw_archives is empty","current_raw_file_count=0","GitHub main has no complete raw archive evidence","N/A","FAILED","No non-empty authorized raw transcript archive exists","R7"
"S03-AC02","S03","raw manifest/hash 可生成","scripts/raw_archive_manifest.py exists","audit PASS is vacuous: ledger_entry_count=0 and current_raw_file_count=0","No non-empty manifest published","N/A","PARTIAL","Generator exists but no real source proves manifest creation","R7"
"S03-AC03","S03","修改已有 raw 文件导致 validation fail","tests/test_s03p3_raw_manifest.py covers hash drift and delete","3 regression tests PASS","N/A","N/A","VERIFIED","Must be rerun against a non-empty R7 archive","R7"
"S03-AC04","S03","凭证 pattern 导致提交 gate fail","tests/test_s3pdt01_privacy.py covers cookies passwords API keys private keys and tokens","5 regression tests PASS; current scan has zero secret hits","N/A","N/A","VERIFIED","Retain gate during R7 archive materialization","R7"
"S03-AC05","S03","人类文件不被 raw manifest 细节污染","raw ledger details are stored under 机器治理","No real raw ledger exists","N/A","First screen currently has other machine/stage details","PARTIAL","Separation exists but cannot be proven with a real manifest and UI is still polluted","R2"
