parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,TRIGGER_PATTERNS,candidate trigger regex set,rule_set,dict,string pattern map,answering_rule;preference;decision;project_context;workflow;security_boundary;deprecated_info;temporary_or_sensitive,NOT_APPLICABLE - code constants,answering_rule;preference;decision;project_context;workflow;security_boundary;deprecated_info;temporary_or_sensitive,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,regex match by category,EXTRACTED from code trigger map,NOT_APPLICABLE - deterministic heuristics,High - changes candidate creation,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:68,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,python_ast_dict_keys:OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py::TRIGGER_PATTERNS|join=;,answering_rule;preference;decision;project_context;workflow;security_boundary;deprecated_info;temporary_or_sensitive,074295212402b6dfd1f807a567c5a18fc6e1558d,2026-06-21T13:06:04Z,sha256:2d4f2116f7193790020e5a773da3ef4875bc06428ac5ff4c7c9657cc7b2cf31c,MACHINE_VERIFIED,
PARAM-002,MOD-001,FORM-001,category_priority,classification category priority,rule_order,string,ordered enum,temporary_or_sensitive;deprecated_info;security_boundary;decision;answering_rule;workflow;project_context;preference;fact,NOT_APPLICABLE - code branch order,temporary_or_sensitive;deprecated_info;security_boundary;decision;answering_rule;workflow;project_context;preference;fact,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,first matched priority branch wins,EXTRACTED from classify_chunk if/elif order,NOT_APPLICABLE,High - changes category output,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:512,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-003,MOD-001,FORM-001,importance_map,category to importance mapping,rule_map,dict,enum mapping,security_boundary;decision;answering_rule=高;workflow;project_context;preference;deprecated_info=中;else=低,NOT_APPLICABLE - code constants,security_boundary;decision;answering_rule=高;workflow;project_context;preference;deprecated_info=中;else=低,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,category maps to importance enum,EXTRACTED from classify_chunk,NOT_APPLICABLE,High - affects candidate ranking and reports,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:536,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-004,MOD-001,FORM-001,validity_map,category to validity mapping,rule_map,dict,enum mapping,temporary_or_sensitive=临时;project_context=项目结束前;workflow;preference=半年;else=长期,NOT_APPLICABLE - code constants,temporary_or_sensitive=临时;project_context=项目结束前;workflow;preference=半年;else=长期,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,category maps to validity enum,EXTRACTED from classify_chunk,NOT_APPLICABLE,High - affects tier and stale logic,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:543,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-005,MOD-001,FORM-001,confidence_high_trigger_count,high confidence trigger threshold,threshold,integer,matched category count,3,NOT_APPLICABLE - code constant,3,NOT_APPLICABLE,,,,3,3,confidence high if trigger_count >= 3 or high importance,EXTRACTED from classify_chunk,NOT_APPLICABLE,Medium - changes confidence labels,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:552,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-006,MOD-001,FORM-001,min_candidate_statement_length,minimum normalized statement length,constraint,integer,characters,8,NOT_APPLICABLE - code branch,8,NOT_APPLICABLE,,,,8,8,drop candidate when normalized length < 8,EXTRACTED from make_candidate,NOT_APPLICABLE,Medium - filters low signal chunks,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:651,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-007,MOD-001,FORM-001,statement_truncate_limit,candidate statement truncate limit,constraint,integer,characters,420,NOT_APPLICABLE - function call constant,420,NOT_APPLICABLE,,,,420,420,truncate redacted statement,EXTRACTED from make_candidate,NOT_APPLICABLE,Medium - affects stored text length,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:650,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-008,MOD-001,FORM-001,merge_confidence_evidence_threshold,evidence count for confidence promotion,threshold,integer,evidence rows,3,NOT_APPLICABLE - code branch,3,NOT_APPLICABLE,,,,3,3,medium confidence promotes to high,EXTRACTED from merge_candidates,NOT_APPLICABLE,Medium - changes confidence after dedupe,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:747,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:46,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-009,MOD-001,FORM-001,merge_evidence_cap,max evidence rows kept per candidate,constraint,integer,evidence rows,10,NOT_APPLICABLE - code slice,10,NOT_APPLICABLE,,,,10,10,evidence list sliced to first 10,EXTRACTED from merge_candidates,NOT_APPLICABLE,Low - controls evidence payload size,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:745,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:46,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-010,MOD-001,FORM-001,review_status_default,generated candidate review status,state,string,enum,pending,NOT_APPLICABLE - code constant,pending,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,set candidate review_status,EXTRACTED from make_candidate,NOT_APPLICABLE,High - controls human review gate,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:701,OpenAIDatabase/config/memory_schema.json:1,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,memory-candidate-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-011,MOD-002,FORM-002,SECRET_PATTERNS,secret detection regex set,rule_set,list[regex],patterns,openai_api_key;github_token;aws_access_key;private_key;bearer_token;credential_assignment,NOT_APPLICABLE - code constants,openai_api_key;github_token;aws_access_key;private_key;bearer_token;credential_assignment,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,redact matching secret patterns,EXTRACTED from code,NOT_APPLICABLE,High - controls secret leakage prevention,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:51,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,redaction-policy-v0,2026-06-20,python_ast_sequence_firsts:OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py::SECRET_PATTERNS|join=;,openai_api_key;github_token;aws_access_key;private_key;bearer_token;credential_assignment,074295212402b6dfd1f807a567c5a18fc6e1558d,2026-06-21T13:06:04Z,sha256:00031952f40c3cea825c9efbe4dc000f0587fcb868411b8c808f5f6c1265bbce,MACHINE_VERIFIED,
PARAM-012,MOD-002,FORM-002,PII_PATTERNS,PII detection regex set,rule_set,list[regex],patterns,email;phone,NOT_APPLICABLE - code constants,email;phone,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,redact matching PII patterns,EXTRACTED from code,NOT_APPLICABLE,High - controls PII exposure,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:63,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,redaction-policy-v0,2026-06-20,python_ast_sequence_firsts:OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py::PII_PATTERNS|join=;,email;phone,074295212402b6dfd1f807a567c5a18fc6e1558d,2026-06-21T13:06:04Z,sha256:efca43efec050b70d76c30ce72aa8f09aeff96eebf8fdd8aaa0032789ad27860,MACHINE_VERIFIED,
PARAM-013,MOD-002,FORM-002,SENSITIVITY_RANK,sensitivity rank map,rule_map,dict,rank,public=0;private=1;sensitive=2;secret=3,NOT_APPLICABLE - code constants,public=0;private=1;sensitive=2;secret=3,NOT_APPLICABLE,,,,0,3,sensitivity_max comparison,EXTRACTED from code,NOT_APPLICABLE,High - controls retrieval filtering,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:49,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:112,active,EXTRACTED,,redaction-policy-v0,2026-06-20,python_ast_dict:OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py::SENSITIVITY_RANK|pair=equals|sep=;,public=0;private=1;sensitive=2;secret=3,074295212402b6dfd1f807a567c5a18fc6e1558d,2026-06-21T13:06:04Z,sha256:4da555777800e851449908501f425a3cee557c10c0af39d1893fe2efe3c4e8da,MACHINE_VERIFIED,
PARAM-014,MOD-002,FORM-002,redacted_source_hash_length,temporary sensitive hash prefix length,constraint,integer,hex chars,16,NOT_APPLICABLE - code slice,16,NOT_APPLICABLE,,,,16,16,sha256_text(redacted) first 16 chars,EXTRACTED from make_candidate,NOT_APPLICABLE,Medium - affects traceability without plaintext,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:673,NOT_APPLICABLE,OpenAIDatabase/tests/test_memory_atlas_data.py:25,active,EXTRACTED,,redaction-policy-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-015,MOD-002,FORM-002,security_boundary_sensitivity,security boundary sensitivity rule,rule,string,enum,sensitive unless secret,NOT_APPLICABLE - code branch,sensitive unless secret,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,category security_boundary forces sensitive,EXTRACTED from make_candidate,NOT_APPLICABLE,High - protects security rules,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:676,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,redaction-policy-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-016,MOD-002,FORM-002,credential_policy_template,secret_ref credential policy,policy,object,booleans and strings,plaintext_in_git=false;agent_access=authorized_local_secret_resolver_only;requires_user_authorization=true;local_resolver_required=true;trading_boundary=fail_closed,NOT_APPLICABLE - code object,plaintext_in_git=false;agent_access=authorized_local_secret_resolver_only;requires_user_authorization=true;local_resolver_required=true;trading_boundary=fail_closed,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,attach credential_policy when secret_ref exists,EXTRACTED from make_candidate,NOT_APPLICABLE,High - controls protected action safety,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:714,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,redaction-policy-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-017,MOD-002,FORM-002,secret_backup_status,secret backup status string,policy,string,status,backed_up_redacted_secret_ref_only_with_encrypted_raw_reference,NOT_APPLICABLE - code constant,backed_up_redacted_secret_ref_only_with_encrypted_raw_reference,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,set backup_status for secret_ref,EXTRACTED from make_candidate,NOT_APPLICABLE,Medium - audit wording,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:683,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:17,active,EXTRACTED,,redaction-policy-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-018,MOD-003,FORM-003,TIER_ALIASES,tier alias normalization map,rule_map,dict,enum alias,重要中长期=一般;一般短期=临时,NOT_APPLICABLE - code constant,重要中长期=一般;一般短期=临时,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,normalize legacy tier labels,EXTRACTED from code,NOT_APPLICABLE,Medium - affects legacy data compatibility,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:47,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:68,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-019,MOD-003,FORM-003,retrieval_weight_map,tier to retrieval weight map,rule_map,dict,enum mapping,核心画像=high;一般=medium;else=low,NOT_APPLICABLE - code branches,核心画像=high;一般=medium;else=low,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,map tier to retrieval_weight,EXTRACTED from retrieval_weight,NOT_APPLICABLE,High - affects personalization strength,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:1701,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:46,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-020,MOD-003,FORM-003,curation_override_fields,fields accepted from core profile review,policy,list[string],field names,statement;category;importance;validity;confidence;reason;memory_tier;sensitivity;backup_status,NOT_APPLICABLE - code list,statement;category;importance;validity;confidence;reason;memory_tier;sensitivity;backup_status,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,override reviewed fields,EXTRACTED from apply_curation_override,NOT_APPLICABLE,High - allows human review correction,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:1691,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:87,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-021,MOD-003,FORM-003,active_review_status,active row review status,state,string,enum,active_auto_promoted_from_full_flow,NOT_APPLICABLE - code constant,active_auto_promoted_from_full_flow,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,set active review status,EXTRACTED from build_active_memory_rows,NOT_APPLICABLE,Medium - audit status,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:1756,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:46,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-022,MOD-003,FORM-003,activation_mode,active row activation mode,state,string,enum,user_authorized_full_flow,NOT_APPLICABLE - code constant,user_authorized_full_flow,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,set activation mode,EXTRACTED from build_active_memory_rows,NOT_APPLICABLE,Medium - audit status,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:1757,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:46,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-023,MOD-003,FORM-003,code_noise_demote_rule,code or config noise demotion rule,rule,string,boolean branch,true when looks_like_code_or_config_noise,NOT_APPLICABLE - code function,true when looks_like_code_or_config_noise,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,force tier 临时 and low importance,EXTRACTED from normalized_memory_tier and build_active_memory_rows,NOT_APPLICABLE,High - prevents code snippets as core profile,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:622,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:68,active,EXTRACTED,,active-memory-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-024,MOD-004,FORM-004,sqlite_index_path,SQLite memory index path,config,string,path,data/processed/indexes/memory_index.sqlite,NOT_APPLICABLE - code constant path,data/processed/indexes/memory_index.sqlite,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,build or open index,EXTRACTED from build_sqlite_index,NOT_APPLICABLE,Medium - changes search storage,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:1994,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:112,active,EXTRACTED,,read-only-retrieval-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
PARAM-025,MOD-004,FORM-004,search_limit_default,CLI search result limit default,default,integer,rows,10,NOT_APPLICABLE - argparse default,10,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,default limit for search command,EXTRACTED from parser,NOT_APPLICABLE,Low - affects CLI result count,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:2532,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:112,active,EXTRACTED,,read-only-retrieval-v0,2026-06-20,python_ast_default:OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py::query_index.limit,10,074295212402b6dfd1f807a567c5a18fc6e1558d,2026-06-21T13:06:04Z,sha256:291a15e9f28f47a6bbd93b55fe9da29b8fc4bda2aceec3e0a81e5a896a59b2dc,MACHINE_VERIFIED,
PARAM-026,MOD-004,FORM-004,search_overfetch_multiplier,SQL overfetch multiplier,model_constant,integer,multiplier,5,NOT_APPLICABLE - code constant,5,NOT_APPLICABLE,,,,5,5,SQL LIMIT = limit * 5,EXTRACTED from query_index,NOT_APPLICABLE,Low - affects post-filter capacity,OpenAIDatabase/skills/openai-memory-analysis/scripts/openai_memory_analysis.py:2071,NOT_APPLICABLE,OpenAIDatabase/tests/test_openai_memory_analysis.py:112,active,EXTRACTED,,read-only-retrieval-v0,2026-06-20,,HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,NOT_APPLICABLE - HUMAN_REVIEW_REQUIRED,HUMAN_REVIEW_REQUIRED,GOV-SEMANTIC-OAIDB-001
