task_id,evidence_gap,source_report,metadata_path,run,strategy_id,symbol,market,research_topic,signal_to_validate,sample_period,cost_assumption,benchmark,status,dedupe_key
reportGapTask_e075e54ff090b224301e,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,554bda3a926a58faf09410967981e4781752b8142848bbcdf2610930a6ae30dc
reportGapTask_4fd24767b189af18a488,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,5f54e07c13f9778bdad13b5b787c759edd6ef384d8da15862cf70b4d0846a962
reportGapTask_0c691618d33ec8d0db0a,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,5ca0308fe4f2c29cbee8266b802cdab95fbbf2c8c61bec9bc995eb4b8a5f07f6
reportGapTask_a5d66fdd1799fae49691,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,2abbae557856b9bd08161af406b961019a0e7eb25f4b9190d9c32145fc9865f5
reportGapTask_ea31ffc51bd85726422d,DecisionQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,02cf5877df01a10946d06f7979433e6576cf7285f1104e2adc411928fe67137e
reportGapTask_ecd9e79c97b8f0af187b,ReportEvidence,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,60c3898ed49cac0e1fe85b90f9be3decf61eb99b197e86f5f267860e64de1230
reportGapTask_cfa345814e7f20c54a87,DataQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / DataQuality,补跑并保存数据质量检查，确认数据源、时间区间、缺失值和异常值。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,0d3bcdabd4ecd5302772d53d0f957a35b93a150a6d08a81935a353fbc64d8912
reportGapTask_9fb1c75bf25656524cff,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,0d86d8504be88e64d754d75e212f8ec911148a33e971a222a95c3a5e5008e74e
reportGapTask_5a4a5486501da671d753,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,1c4c14e6ecb88467d3d6657ff571b13792a02ca35bd8ca925ec141098de43b76
reportGapTask_6d6d9dcf06cd82c50742,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,768020bb9f31c27019a2dfc3fe79ce4feeaf5bf089e5e760eda18c4ce578e27b
