requirement_id,model_id,assumption_id,formula_id,parameter_id,task_id,acceptance_id,code_ref,config_ref,test_ref,evidence_ref,status
REQ-EVA-001,MOD-001,ASM-001;ASM-003,FORM-001,PARAM-001;PARAM-002;PARAM-003;PARAM-004;PARAM-005;PARAM-006;PARAM-007;PARAM-008;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/strategies/trend/ma_crossover.py:1; EVA_OS/src/quantlab/strategies/behavioral/alipay.py:11; EVA_OS/src/quantlab/strategies/profiles.py:322,NOT_APPLICABLE,EVA_OS/tests/test_backtest.py; EVA_OS/tests/test_alipay_strategy.py; EVA_OS/tests/test_strategy_profiles.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-002,MOD-002,ASM-001;ASM-002;ASM-003,FORM-002,PARAM-031;PARAM-032;PARAM-033;PARAM-034;PARAM-035;PARAM-036;PARAM-037;PARAM-038;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/backtest/engine.py:13; EVA_OS/src/quantlab/backtest/metrics.py:22,NOT_APPLICABLE,EVA_OS/tests/test_backtest.py; EVA_OS/tests/test_alipay_strategy.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-003,MOD-003,ASM-001;ASM-002,FORM-003,PARAM-041;PARAM-042;PARAM-043;PARAM-044;PARAM-045;PARAM-046;PARAM-047;PARAM-048;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/risk/gates.py:16,NOT_APPLICABLE,EVA_OS/tests/test_risk_gates.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-004,MOD-004,ASM-001;ASM-002;ASM-003,FORM-004,PARAM-053;PARAM-054;PARAM-055;PARAM-056;PARAM-057;PARAM-058;PARAM-059;PARAM-060;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/risk/decision_quality.py:36,NOT_APPLICABLE,EVA_OS/tests/test_decision_quality.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-005,MOD-005,ASM-002;ASM-007,FORM-005,PARAM-069;PARAM-070;PARAM-071;PARAM-072;PARAM-073;PARAM-074;PARAM-075;PARAM-076,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/data/quality.py:34; EVA_OS/src/quantlab/data/validation.py:34,NOT_APPLICABLE,EVA_OS/tests/test_data_quality.py; EVA_OS/tests/test_validation_execution.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-006,MOD-006,ASM-001;ASM-002,FORM-006,PARAM-077;PARAM-078;PARAM-079;PARAM-080;PARAM-081;PARAM-082;PARAM-083;PARAM-084;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/research/validation_priority.py:52; EVA_OS/src/quantlab/research/validation_execution.py:37,NOT_APPLICABLE,EVA_OS/tests/test_validation_priority.py; EVA_OS/tests/test_validation_execution.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-007,MOD-007,ASM-001;ASM-002;ASM-007,FORM-007,PARAM-092;PARAM-093;PARAM-094;PARAM-095;PARAM-096;PARAM-097;PARAM-098,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/system/data_trust.py:48,NOT_APPLICABLE,EVA_OS/tests/test_data_trust_audit.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-008,MOD-008,ASM-001;ASM-002,FORM-008,PARAM-099;PARAM-100;PARAM-101;PARAM-102;PARAM-103;PARAM-104;PARAM-105,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/system/integration_audit.py:27; EVA_OS/src/quantlab/system/daily_readiness.py:16; EVA_OS/src/quantlab/executive/command_center.py:208,NOT_APPLICABLE,EVA_OS/tests/test_integration_audit.py; EVA_OS/tests/test_daily_readiness.py; EVA_OS/tests/test_command_center.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-009,MOD-009,ASM-001;ASM-002,FORM-009,PARAM-106;PARAM-107;PARAM-108;PARAM-109;PARAM-110;PARAM-111;PARAM-112;PARAM-113;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/reports/decision_support.py:28; EVA_OS/src/quantlab/research/report_gap_tasks.py:22,NOT_APPLICABLE,EVA_OS/tests/test_report_decision_support.py; EVA_OS/tests/test_report_gap_tasks.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-010,MOD-010,ASM-001;ASM-007,FORM-010,PARAM-117;PARAM-118;PARAM-119;PARAM-120;PARAM-121;PARAM-122;PARAM-123;PARAM-124;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/analysis/market_hotspots.py:14; EVA_OS/src/quantlab/analysis/market_hotspots.py:831,NOT_APPLICABLE,EVA_OS/tests/test_market_hotspots.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-011,MOD-011,ASM-001;ASM-004,FORM-011,PARAM-143;PARAM-144;PARAM-145;PARAM-146;PARAM-147;PARAM-148;PARAM-149,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/business/cashflow.py:118,NOT_APPLICABLE,EVA_OS/tests/test_cashflow_command.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-012,MOD-012,ASM-001;ASM-004,FORM-012,PARAM-150;PARAM-151;PARAM-152;PARAM-153;PARAM-154;PARAM-155;PARAM-156;PARAM-157;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/consumption/guard.py:103; EVA_OS/src/quantlab/consumption/guard.py:532,NOT_APPLICABLE,EVA_OS/tests/test_consumption_guard.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-013,MOD-013,ASM-001;ASM-005,FORM-013,PARAM-160;PARAM-161;PARAM-162;PARAM-163;PARAM-164;PARAM-165;PARAM-166;PARAM-167,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/policy/radar.py:109; EVA_OS/src/quantlab/policy/radar.py:351,NOT_APPLICABLE,EVA_OS/tests/test_policy_radar.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-014,MOD-014,ASM-001;ASM-002,FORM-014,PARAM-168;PARAM-169;PARAM-170;PARAM-171;PARAM-172;PARAM-173,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/value/token_roi.py:33,NOT_APPLICABLE,EVA_OS/tests/test_token_roi_ledger.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-015,MOD-015,ASM-001;ASM-003,FORM-015,PARAM-174;PARAM-175;PARAM-176;PARAM-177;PARAM-178;PARAM-179;PARAM-180,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/strategies/templates.py:136; EVA_OS/src/quantlab/strategies/templates.py:257,NOT_APPLICABLE,EVA_OS/tests/test_strategy_templates.py; EVA_OS/tests/test_strategy_profiles.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
REQ-EVA-016,MOD-016,ASM-001;ASM-002,FORM-016,PARAM-181;PARAM-182;PARAM-183;PARAM-184;PARAM-185;PARAM-186;PARAM-187;PARAM-188;...,TASK-EVA-A-001,ACC-EVA-A-001,EVA_OS/src/quantlab/system/dev_readiness.py:16,NOT_APPLICABLE,EVA_OS/tests/test_dev_readiness.py,EVA_OS/docs/governance/MODEL_SPEC.md,active
